symbol,date,open,high,low,close,adj_close,volume,date_str,intraday_gain_pct,daily_return_pct,year
SPXL,2025-04-09 13:30:00,94.08000183105469,124.66000366210938,93.83000183105469,122.5999984741211,122.16085052490234,22776600,2025-04-09,32.50425301433253,30.31462169216529,2025
SPXL,2025-04-07 13:30:00,91.45999908447266,111.93000030517578,87.08000183105469,100.75,100.38912200927734,19566300,2025-04-07,22.38137046316498,10.157446980670839,2025
SPXL,2022-10-13 13:30:00,49.4900016784668,57.56999969482422,48.970001220703125,56.849998474121094,55.19644546508789,25478900,2022-10-13,16.326526050357856,14.871684271646826,2022
SPXL,2022-02-24 14:30:00,90.75,103.23999786376953,90.54000091552734,102.91999816894531,99.80638885498047,18091400,2022-02-24,13.763083045476069,13.410466301868112,2022
SPXL,2022-11-30 14:30:00,69.30999755859375,75.66999816894531,68.26000213623047,75.58999633789062,73.39136505126953,15591700,2022-11-30,9.176166259384013,9.060740153666645,2022
SPXL,2022-05-04 13:30:00,92.55999755859375,100.87999725341797,90.30000305175781,100.43000030517578,97.39173126220703,15271500,2022-05-04,8.988763952329801,8.502596104326862,2022
SPXL,2022-10-21 13:30:00,56.15999984741211,60.61000061035156,55.40999984741211,60.34000015258789,58.584938049316406,19980700,2022-10-21,7.9237905538287,7.4430205066469535,2022
SPXL,2025-04-11 13:30:00,109.06999969482422,117.5199966430664,107.19000244140625,115.73999786376953,115.32542419433594,9627100,2025-04-11,7.747315459691133,6.115337111586908,2025
SPXL,2024-08-05 13:30:00,118.26000213623047,127.3499984741211,117.29000091552734,122.73999786376953,121.53427124023438,11317000,2024-08-05,7.686450341358304,3.788259467793937,2024
SPXL,2022-10-28 13:30:00,62.91999816894531,67.72000122070312,62.84000015258789,67.45999908447266,65.49783325195312,16617300,2022-10-28,7.628739973687561,7.215513426012938,2022
SPXL,2023-03-16 13:30:00,61.849998474121094,66.47000122070312,61.56999969482422,66.30000305175781,64.5015869140625,23814300,2023-03-16,7.469689346096112,7.194833771093241,2023
SPXL,2024-12-20 14:30:00,166.1300048828125,178.2100067138672,165.39999389648438,173.94000244140625,172.43824768066406,4783800,2024-12-20,7.271414841392364,4.701136055526449,2024
