cluster,count,percentage,avg_4day_return,avg_volatility,avg_daily_return,win_rate,best_4day_return,worst_4day_return,trend_up_pct
0,83,6.6293929712460065,-4.487582377453352,4.115361605866929,-1.1062710097057689,9.63855421686747,3.25524176953218,-11.228131675002995,9.63855421686747
1,175,13.977635782747605,7.801943839220549,2.7312914147847986,2.1030450334575668,100.0,19.33027191875054,0.439357596116996,100.0
2,64,5.111821086261981,3.5924520187221147,4.801844541385691,0.9878998194703377,79.6875,19.19579647970282,-4.846045154538203,79.6875
3,79,6.3099041533546325,-5.9256859215358455,4.05454962601778,-1.526586686693418,1.2658227848101267,1.0881345069452042,-15.940468561374866,1.2658227848101267
4,50,3.993610223642172,-13.79015286267884,4.720599639566157,-3.77995558357348,0.0,-5.88858542750943,-26.999421101005527,0.0
5,292,23.322683706070286,-2.872687871671584,2.042666706394083,-0.6645784152918922,0.0,-0.012803553352291885,-9.506820759610356,0.0
6,2,0.1597444089456869,23.503229656448212,16.251101569436763,4.6802386794884,100.0,26.636901648445477,20.369557664450944,100.0
7,2,0.1597444089456869,5.912073326457234,17.90641463580203,2.7595726296778107,100.0,7.647729503161549,4.17641714975292,100.0
8,90,7.188498402555911,2.667171217134556,4.465665426043032,0.5316114613542633,72.22222222222221,14.61983086658818,-7.021160615634914,72.22222222222221
9,415,33.146964856230035,2.8001900873109387,1.6632335108992309,0.7356052441869125,100.0,9.234265250837193,0.036406284880285966,100.0
